tpm,cultivar
3.9204449999999995,L62-667
5.197977,L62-667
5.445895,L62-667
3.995833,Yonpoong
4.932955000000001,Yonpoong
3.119707,Yonpoong
5.635288,Pureun
8.048232,Pureun
12.75641,Pureun
6.22724,Daepung
6.536989,Daepung
6.659492999999999,Daepung
2.193357,Ilpumgeomjeong
4.529669,Ilpumgeomjeong
9.795728,Ilpumgeomjeong
4.429978,PI 84644
4.583631,PI 84644
4.930822,PI 84644
10.695998,Williams 82K
6.955794,Williams 82K
7.966208,Williams 82K
2.8728290000000003,Saedanbaek
6.299888,Saedanbaek
5.813001,Saedanbaek
5.46926,Hwangkeum
4.542636,Hwangkeum
6.219415000000001,Hwangkeum
4.392446,KAS210-22
5.750234,KAS210-22
3.9032410000000004,KAS210-22
6.248541,Sochung2
4.732732,Sochung2
6.360576,Sochung2
4.11062,Wooram
5.0807150000000005,Wooram
5.222908,Wooram
6.197786,Cheongja3
6.258679,Cheongja3
7.16914,Cheongja3
4.034482,Heugcheong
6.839550999999999,Heugcheong
4.5480279999999995,Heugcheong
5.761554,Pungwon
6.106745,Pungwon
4.406391,Pungwon
5.126380999999999,PI 96983
4.465332,PI 96983
5.593305,PI 96983
3.019777,Somyung
5.1242410000000005,Somyung
7.671664,Somyung
3.702532,Bangsa
5.653878,Bangsa
5.518973,Bangsa
5.722642,Haman
4.642361,Haman
5.264951,Haman
4.499248000000001,Shinhwa
5.345031,Shinhwa
7.315328999999999,Shinhwa
6.755183000000001,Chungja
5.550745,Chungja
6.246663,Chungja
6.131805,Milyang12
5.455846,Milyang12
6.731451,Milyang12
7.353312,Daeyang
3.496746,Daeyang
6.253280999999999,Daeyang
6.393692,Taekwang
5.240303,Taekwang
5.153348,Taekwang
4.348143,IT178024
4.725626,IT178024
5.896869000000001,IT178024
4.0732230000000005,Heuin
3.4193300000000004,Heuin
3.4682760000000004,Heuin
4.6195319999999995,PI 60269-2
6.668032000000001,PI 60269-2
3.6710849999999997,PI 60269-2
7.124774,KLS123-1
6.546899,KLS123-1
5.660273999999999,KLS123-1
3.263055,KAS660-12
6.453297,KAS660-12
4.34727,KAS660-12
5.000552,Danbaek
3.6787160000000005,Danbaek
4.239675,Danbaek
3.358768,IT104334
5.533809,IT104334
5.450493,IT104334
5.266973999999999,PI 227159
5.152462,PI 227159
4.240889,PI 227159
4.840537,KAS660-21
3.710843,KAS660-21
5.322875,KAS660-21
5.358813,YB316-3
7.87724,YB316-3
3.657422,YB316-3
7.883633000000001,KLS 116-1
7.511014,KLS 116-1
4.507158,KLS 116-1
5.177836,KLS88066
4.281639,KLS88066
3.8698080000000004,KLS88066
3.6109080000000002,Dongsan133
4.979881,Dongsan133
6.540353,Dongsan133
4.211997,SLSB397-1
8.78725,SLSB397-1
8.075664999999999,SLSB397-1
2.414527,PI 399122
4.678179,PI 399122
2.904484,PI 399122
6.883692999999999,IT177388
5.110453,IT177388
3.602096,IT177388
4.768877,Kangwon sujib2-33
3.5042410000000004,Kangwon sujib2-33
5.4840029999999995,Kangwon sujib2-33
4.961246,PI 88820
4.752981,PI 88820
6.986733,PI 88820
3.09133,SS0404-T5-76
7.190085000000001,SS0404-T5-76
4.771097,SS0404-T5-76
6.915661999999999,YN154
6.454112,YN154
5.51984,YN154
3.2636950000000002,IT112859
4.558813,IT112859
4.632008,IT112859
3.769357,KAS505-1
4.099393,KAS505-1
3.2207209999999997,KAS505-1
3.304417,Kyoungbuk Kyoungsan-1997-54
5.041052,Kyoungbuk Kyoungsan-1997-54
5.986987,Kyoungbuk Kyoungsan-1997-54
2.053077,KAS590-6
7.7354259999999995,KAS590-6
3.9693989999999997,KAS590-6
4.894405,Geomeunbak
4.74636,Geomeunbak
5.534307,Geomeunbak
6.7428289999999995,KLS86083
4.677098,KLS86083
7.0108179999999996,KLS86083
