tpm,stage
16.719753,10
21.168835,10
15.949704,10
12.990732000000001,30
10.828363000000001,30
11.864168,30
14.123942999999999,10
15.147866,10
22.496225,10
13.975985999999999,30
11.454535,30
10.892045,30
13.12585,10
17.183249,10
17.56031,10
25.477363,30
22.75055,30
17.498123,30
12.692184,10
15.422766000000001,10
14.781487,10
13.453175,30
12.936938,30
12.154813,30
30.718740999999998,10
44.46464,10
25.408051999999998,10
7.65079,30
7.0018720000000005,30
10.086474,30
20.204581,10
20.14732,10
22.785799,10
17.771224,30
26.154035,30
30.678651000000002,30
16.907111999999998,10
18.007505,10
18.316505,10
6.249651,30
10.582135000000001,30
11.967754,30
25.967257999999998,10
30.852145,10
28.994373,10
5.498435,30
15.66116,30
16.960148,30
19.951665,10
29.058553999999997,10
29.940238,10
14.254689,30
21.350439,30
13.543635,30
18.404098,10
18.342726000000003,10
21.735951999999997,10
16.006883,30
12.73654,30
9.868447,30
23.306093,10
19.514803,10
18.952414,10
8.392479,30
11.74013,30
5.239667,30
22.121577,10
20.987325,10
27.70373,10
16.465398,30
16.544069,30
12.902633999999999,30
15.201572,10
16.350696,10
28.348925,10
16.2624,30
15.656488000000001,30
12.594955,30
15.742211,10
15.214466,10
15.111973,10
11.422392,30
10.310085,30
19.343497,30
33.201273,10
29.947178000000005,10
26.110668,10
15.136622000000001,30
23.253803,30
19.223164,30
26.411713,10
31.840578999999998,10
26.121291,10
14.140516,30
14.918973999999999,30
12.46194,30
18.037872,10
24.327978,10
30.963812,10
11.771446000000001,30
10.690028,30
7.490539,30
25.145278,10
31.658217999999998,10
25.945719,10
12.678913,30
11.104149000000001,30
11.278083,30
16.672363,10
17.570593,10
18.595807,10
11.259657,30
20.895670000000003,30
13.433748000000001,30
20.322460999999997,10
20.348154,10
21.801130999999998,10
5.938753,30
6.08352,30
16.155673999999998,30
14.393760999999998,10
13.762062,10
14.049035,10
13.180871,30
13.960154000000001,30
9.139151,30
26.993011,10
28.378140000000002,10
35.378094,10
16.784295999999998,30
10.702831,30
13.315387,30
16.745686,10
15.476610999999998,10
15.403659,10
19.543657,30
10.924055000000001,30
13.019219999999999,30
25.775719,10
28.702164,10
22.993615,10
16.278969,30
15.418973999999999,30
14.922735999999999,30
15.752845,10
14.61275,10
15.950547,10
11.069230000000001,30
10.708167,30
3.6669669999999996,30
21.235903,10
20.158082,10
17.170343,10
13.735382999999999,30
13.202101,30
13.816432999999998,30
24.143447000000002,10
27.876047999999997,10
20.444231,10
17.211471,30
16.094767,30
17.479366,30
16.004067000000003,10
39.348104,10
38.12084,10
20.959132,30
20.310398,30
12.081362,30
16.768526,10
18.385761,10
13.929731,10
19.432173000000002,30
19.965956,30
13.265444,30
27.38928,10
28.989969,10
31.962665,10
11.891834,30
4.612925,30
11.573653,30
14.269706,10
18.385268,10
16.778696,10
14.548514,30
14.959112,30
13.683883999999999,30
24.738392,10
20.897904999999998,10
19.974831,10
14.791123,30
14.128839000000001,30
15.214334,30
16.20291,10
17.596095000000002,10
14.968810000000001,10
11.023292999999999,30
10.050285,30
12.399911,30
22.071481,10
27.711652,10
28.224238,10
12.284191,30
9.968233999999999,30
12.255371,30
15.746307,10
19.614486,10
20.021657,10
10.481036,30
11.637065,30
14.488467000000002,30
17.500552,10
33.796319,10
21.11965,10
11.033783999999999,30
15.166839000000001,30
13.846535000000001,30
19.129286999999998,10
17.552388,10
20.399588,10
10.354934,30
10.235097,30
13.422531,30
22.528467000000003,10
22.780304,10
23.607485,10
10.382478,30
11.310818,30
8.497535000000001,30
56.137207,10
42.503820000000005,10
24.299733,10
11.472578,30
8.777163,30
10.350263,30
26.524017999999998,10
20.471887,10
27.139232,10
12.320584,30
11.194911,30
13.489385999999998,30
16.301192999999998,10
15.301204,10
18.389025,10
8.483518,30
8.825598,30
14.377901999999999,30
21.580126,10
21.335822,10
18.769849,10
9.9237,30
11.678399,30
10.340632000000001,30
24.395125,10
19.30547,10
30.806264000000002,10
16.605635,30
14.476435999999998,30
19.133561,30
15.057901000000001,10
23.506086,10
18.659316,10
12.096364999999999,30
15.368001000000001,30
9.937321,30
18.726684,10
14.167797,10
16.177807,10
12.922452,30
9.624597,30
13.01765,30
18.706137,10
25.803589000000002,10
21.183197,10
10.497950999999999,30
8.104008,30
12.024595,30
44.977651,10
13.814017000000002,10
16.850901999999998,10
5.718241,30
11.928672,30
12.8929,30
15.166145000000002,10
13.896118,10
17.313339000000003,10
20.109302,30
10.834178999999999,30
11.437289999999999,30
46.397431,10
32.338423999999996,10
29.009446,10
9.093092,30
9.459383,30
10.693209,30
15.845045,10
18.880454999999998,10
22.779474,10
11.255245,30
10.40108,30
9.793513,30
